asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3123414-1,30883669,Pizzeria Mezell,Juhlamarssi 1 ,90670,OULU,Oulu,INFINITY HOUSE OY,23.01.2024,
0567671-2,1028573,ABC Kristiinankaupunki,Vanha Vaasantie 11,64300,LAPVÄÄRTTI,Kristiinankaupunki,Etelä-Pohjanmaan Osuuskauppa,01.03.2018,
1064738-5,1051993,Pub Grönan,Bulevardi 17,10900,HANKO,Hanko,Grönan Oy ,11.01.2005,
0693005-7,1032522,Singapore Kiinal. Ravintola,Lapinlahdenkatu 29,180,HELSINKI,Helsinki,Singapore- Kiinalainen ravintola Oy,27.11.1989,
3265934-4,1074972,Plan B,Torikatu 18,90100,OULU,Oulu,Ravintola BQoulu Oy,11.07.2022,
0536307-0,30889240,Baonami,Hämeenkatu 3,33100,TAMPERE,Tampere,Pirkanmaan Osuuskauppa,22.12.2025,
3505001-6,30886625,Kaisan pitseria,Korkeavuorenkatu 17,130,HELSINKI,Helsinki,Kansan pitseria Oy,24.02.2025,
2572792-7,1045651,Neste Oil Simpele,Asemakatu 30,56800,SIMPELE,Rautjärvi,Simpele Oil Oy,01.03.2018,
3455594-4,30886000,Pressan Pizza,Presidentinpuistokatu 18,28130,PORI,Pori,Sofia's princess services oy,01.11.2024,
0681239-2,30883593,Jäänmurtaja Arktis kahvila,Lumilinnankatu 15,94100,KEMI,Kemi,Kemin Matkailu Oy,15.01.2024,
2598605-6,1046823,Ren He,Vanha viertotie 18,350,HELSINKI,Helsinki,Zhi Chao Peng Oy,22.05.2014,
2613453-3,1053106,m/s Kerttu,Saaristolaivojen laituri,23500,UUSIKAUPUNKI,Uusikaupunki,Sektoriloisto oy,02.05.2016,
0211653-3,1017181,Ravintola Ellipsi,Biokatu 12,33520,TAMPERE,Tampere,Pirkanmaan Kansanterveys ry,20.09.2004,
0844307-6,1051603,Bunkkeri bubi,Tuohikotintie 1266,54770,HEITUINLAHTI,Savitaipale,Jakeluasema ja Kahvio Suutari Ky,01.03.2018,
3218546-8,1072525,Ravintola Rani Mahal,Kulmavuorenkatu 4,500,HELSINKI,Helsinki,Naryani Oy,12.10.2021,
1760710-8,1050133,Valtimonteatteri,Aleksis Kiven katu 22,500,HELSINKI,Helsinki,Valtimonteatteri ry,01.03.2018,
2915101-3,1062924,Ravintola Focca,Aittakatu 1,20780,KAARINA,Kaarina,Ravintola Focca Oy,26.10.2018,
1657021-9,1066445,Ravintola Lepakkomies,Helsinginkatu 1,500,HELSINKI,Helsinki,Lepis Helsinki Oy,01.10.2019,
2828993-4,1060855,Höyrybaari,Asematie 25,73100,LAPINLAHTI,Lapinlahti,Aseman Wanha Makasiini Oy,26.05.2018,
3089846-4,1067271,BESA BAR & OLUTHUONE,Pohjolankatu 8,74100,IISALMI,Iisalmi,FEMAFINN OY,27.12.2019,
1636358-6,1070951,Cafe Ingman Arena,Uusi Porvoontie 1210,1150,SÖDERKULLA,Sipoo,Sipoon Areena Oy,11.05.2022,
3509230-4,30887763,Syvälahden Viihdekeskus,Syvälahdentie 310,51200,KANGASNIEMI,Kangasniemi,Satumainen Viihde Oy,01.06.2025,
2292652-5,1071171,Kontiolomat Oy,Kontioniementie 26 a,80770,KONTIOLAHTI AS,Kontiolahti,Kontiolomat Oy,01.07.2021,
1648362-5,1021150,Restaurang Prakticum,Jan-Magnus Janssons Plats 5,560,HELSINKI,Helsinki,Svenska Framtidsskolan i Helsingforsregionen Ab,07.11.2005,
3390875-2,30883496,Pub Hutski,Kuninkaantie 72-74,65320,VAASA,Vaasa,Pub Hutski Oy,07.12.2023,
3464570-4,30886205,Ravintola Sophie,Koskelantie 9,610,HELSINKI,Helsinki,RytMary Oy,25.11.2024,
3155637-8,30886125,Hans-Inn,Sportvägen 113,64300,LAPVÄÄRTTI,Kristiinankaupunki,CK Service,25.11.2024,
2726148-9,1052405,La Bella Trattoria,Capellan puistotie 2,540,HELSINKI,Helsinki,La Bella Trattoria Oy,01.03.2016,
3315692-5,30076435,St. Laurence Golf,Gunnarlantie 210,8200,LOHJA,Lohja,Uniikki Catering Oy,01.03.2023,
2570709-6,1069483,Ravintola Rosmariini,Konalantie 47 D,390,HELSINKI,Helsinki,Mesikahvi Oy,01.10.2020,
3300399-6,1075488,Savion Krouvi,Koivikontie 6,4260,KERAVA,Kerava,Hai Helmi Dao Oy,15.09.2022,
0773131-6,1022015,Salomonkallion Hiihtokeskus,Suomalaisentie 71,29250,NAKKILA,Nakkila,Salomonkallio Oy,17.03.2006,
0201177-4,1021877,Karaokebar Restroom,Tehtaankatu 23 A,150,HELSINKI,Helsinki,Formia-Future Oy,01.03.2006,
2871886-6,1064960,Meltsimetrokebab,Ounasvaarantie 9,970,HELSINKI,Helsinki,RINESA,11.06.2019,
2206341-6,30031002,Tavastia Klubi,Urho Kekkosen katu 4-6,100,HELSINKI,Helsinki,Helsingin Rock and Roll Oy,13.04.2020,
2774759-3,1067640,Gaffer Cafe,Pirnankatu 4,78200,VARKAUS,Varkaus,UKKO-FOOD Oy,14.02.2020,
2290066-7,1045537,Hanko Aasia Forum,Mannerheimintie 20 A,100,HELSINKI,Helsinki,Sushi World Oy,01.03.2018,
2199747-9,30048920,Lapland Hotel Saaga,Iso-Ylläksentie 42,95980,YLLÄSJÄRVI,Kolari,Lapland Hotels Lappi Oy,19.04.2018,
0762343-8,30882878,Ravintola White Lady,Mannerheimintie 93,270,HELSINKI,Helsinki,Casa Ravintolat Oy,01.09.2023,
3489647-4,30886314,Roja,Isokatu 14,67100,KOKKOLA,Kokkola,Bistro Ravintola Roja Oy,06.12.2024,
2734807-4,30068247,Juhlatalo Ukko Hjalmar Ay,Djupsjöbackantie 267,68700,TEERIJÄRVI,Kruunupyy,Juhlatalo Ukko Hjalmar avoin yhtiö,15.05.2020,
0658353-4,1071135,Rax Pekuri Oulu,Kirkkokatu 16,90100,OULU,Oulu,Restel Ravintolat Oy,30.06.2021,
0839571-3,30064453,Rica Bar,Kristiinankatu 5 B,20100,TURKU,Turku,Rita Zaika Oy,01.06.2020,
2608560-4,30047112,Ravintola Sahanlahti,Lietvedentie 830,52200,PUUMALA,Puumala,Sahanlahti Resort Oy,29.05.2020,
3542946-4,30888506,Black Rose,Kauppakatu 23 A5,87100,KAJAANI,Kajaani,Ravintola Musta Ruusu Oy,14.08.2025,
2928850-3,30886004,Neos Gyros Greek Taverna,Storgatan 13,68600,PIETARSAARI,Pietarsaari,Sokols Bygg Ab,28.10.2024,
0873697-9,1059233,3283 Food&Co Cafe Keilalahti,"Keilalahdentie 2-4, C-D talo",2150,ESPOO,Espoo,Compass Group Finland Oy,15.01.2018,
2072041-9,30883621,Ravintola Savila,Vanhankirkonkatu 1,26100,RAUMA,Rauma,West Coast Seaservice Oy Ltd,11.01.2024,
2246932-8,1031164,Petrellin Saluuna,Rantakatu 4,90100,OULU,Oulu,Blenderi Oy,19.02.2009,
2570829-1,30050142,Ravintola Vaakku ja Bar &,Varissaari,48100,KOTKA,Kotka,N&N Event Oy,18.06.2018,
3513111-5,30888585,Kivinokka kiosk,Kivinokantie 1/ kivinokan ulkoilualue,810,HELSINKI,Helsinki,Kivinokka Company Oy,26.08.2025,
1589785-0,1049576,Haagan Pizza-Kebab,Huovitie 6,400,HELSINKI,Helsinki,Haagan Pizza-Kebab,01.03.2018,
0203283-1,1172710,Kiparkatin Tanssilava,Myrskylä,7600,MYRSKYLÄ,Myrskylä,Myrskylän Myrsky r.y.,01.03.2018,
0754867-7,1040155,Uskudar Kebab,Olavinkatu 53,57100,SAVONLINNA,Savonlinna,Gastronova Oy,01.03.2018,
3297533-9,1075208,Pohja Ravintola,Pohjantie 8,10420,POHJANKURU,Raasepori,Tmi Zakho ,03.08.2022,
2944948-5,30886479,Lakeside Hotelli & Ravintola,Ohitustie 5,58900,RANTASALMI,Rantasalmi,Nordic Kivi Oy,27.01.2025,
0587620-4,1056992,Laivaravintola Christina,Satamalaiturintie 16,55420,IMATRA,Imatra,Imatran Kylpylä Oy,11.05.2017,
2013517-2,30070746,Ravintola Saunabaari,Immeltie 1,99130,SIRKKA,Kittilä,Lapin Huippuhotellit Oy,01.04.2021,
1048884-7,30062858,SIF Sportbar,Aleksis Kiven tie 7,2580,SIUNTIO,Siuntio,Sjundeå Idrottsförening r.f.,14.12.2022,
3157378-4,1069727,Bollywood Spice,Possijärvenkatu 1 lh 2.8,33400,TAMPERE,Tampere,Bollywood spice oy,01.11.2020,
2372155-6,1054667,Vierailukeskus Fazerila,Fazerintie 6,1230,VANTAA,Vantaa,Fazer Ravintolat Oy,01.09.2016,
3018012-9,1070178,Kahvila-Ravintola Väylä,Alkkulanraitti 123,95600,YLITORNIO,Ylitornio,Ravintola Väylä Oy,14.01.2021,
1953334-1,1018597,Ravintola Kissakoski,Vahvamäentie 42,52550,HIRVENSALMI,Hirvensalmi,Ravintola Kissakoski Oy,11.04.2005,
2852799-8,1058597,Ravintola Repe,Linnalantie 45,54500,TAAVETTI,Luumäki,Ravintola Repe Ky,01.11.2017,
1837957-3,1031695,OlutHuone Joutsen,Hämeenkatu 3,5800,HYVINKÄÄ,Hyvinkää,HOK-Elanto Liiketoiminta Oy,29.04.2009,
3121754-4,1068435,BUD,Uudenmaankatu 11,120,HELSINKI,Helsinki,XOXO Oy,20.07.2021,
3235704-7,30884804,MunsalaOilCafe,Södra Munsalavägen 49,66950,MUNSALA,Uusikaarlepyy,Munsala Oil Ab,04.06.2024,
0873697-9,1043113,0707 Ravintola Voitto,Lahden Urheilukeskus,15100,LAHTI,Lahti,Compass Group Finland Oy,01.01.2013,
3433062-2,30884978,Ravintola Svartholm,Svartholman linnakesaari,7900,LOVIISA,Loviisa,Suomen Saaristoravintolat Oy,17.06.2024,
0714082-3,1065476,Brinkhallin kahvila,Brinkhallintie 414,20960,TURKU,Turku,Suomen Kulttuuriperinnön Säätiö sr,26.06.2019,
0910257-2,1052256,Voudin Kellari,Sibeliuksenkatu 3,13100,HÄMEENLINNA,Hämeenlinna,Osuuskauppa Hämeenmaa,01.01.1960,
2073941-9,1050119,Lossi Kioski Ihme Tupa,Puutossalmentie 1300,70870,HILTULANLAHTI,Kuopio,Tmi Merja Puustinen,01.03.2018,
3006700-3,30888873,Neste Pukaron Paroni,Koivistontie 2 A,7830,PUKARO,Lapinjärvi,Restel Taukopaikat Oy,14.10.2025,
3315705-5,1075874,Kruunun Kilta Oy,Liisankatu 17,170,HELSINKI,Helsinki,Zu Ninas Oy,01.11.2022,
3541693-8,30888928,LAMA,Kalevan puistotie 17,33500,TAMPERE,Tampere,Lama Catering Oy,01.11.2025,
3240644-3,30882836,Ravintola Kotatieva,Ounasjoen itäpuolentie 828,96900,SAARENKYLÄ,Rovaniemi,Kotatieva Oy,24.11.2023,
2791070-9,30887031,Armas & Vnue,Vapaudenkatu 13,15110,LAHTI,Lahti,Wall Invest Oy,01.04.2025,31.03.2026
1560800-0,30882944,Cafe Adjutant,Tamminiementie 2,250,HELSINKI,Helsinki,Luoman Ravintolat Oy,07.09.2023,
3085077-8,30888087,Dante Kitchen & Bar,Antinkatu 10,28100,PORI,Pori,Taste Feeling Oy,01.07.2025,
1109374-0,30889480,Turun Kauppahalli,Eerikinkatu 16,20100,TURKU,Turku,Turun Kauppahalliyhdistys r.y.,07.02.2026,07.02.2026
2169164-8,1027961,Ravintola Mikko,Suvantokatu 12,80100,JOENSUU,Joensuu,Heville Oy,03.03.2008,
1438345-2,1054293,Tanssikrouvi Mouhijärvi,Rieniläntie 1,38420,SASTAMALA,Sastamala,MML-Invest Oy,01.09.2016,
3242023-7,30072973,Ismet pizza & kebab,Niuhalanraitti 21,3400,VIHTI,Vihti,Önder Family Oy,01.01.2022,
2355431-3,30887311,Lähellä Deli,Thumanin aukio 10,2700,KAUNIAINEN,Kauniainen,Fennel Oy,02.05.2025,
3007388-4,1067367,Antell-Ravintola 6460,Visiokatu 4,33720,TAMPERE,Tampere,Antell Läntinen Oy,02.01.2020,
2743554-9,30881493,Café Nisse,Koskenparras 8,55100,IMATRA,Imatra,Imatran Nisse Oy,12.05.2023,
1992942-6,1021231,Pub Kahvila Lappalainen,Lempääläntie 15,33800,TAMPERE,Tampere,Ravinder Singh,05.05.2014,
3231230-8,30887218,Bistro & Bar PitsQu,Purotie 1,380,HELSINKI,Helsinki,Sorobara Oy,21.04.2025,
3433732-2,30885436,Hotel Mestari / Ravintola Maestro,Fredrikinkatu 51,100,HELSINKI,Helsinki,Hotel Helsinki Oy,13.08.2024,
0822757-6,1016305,Ravintola Pataässä,Snellmaninkatu 13,170,HELSINKI,Helsinki,Service Restaurants Oy Oulu,22.04.2004,
3213884-8,1072359,Luckiefun's Restaurant Kaivokatu,Kaivokatu 10,100,HELSINKI,Helsinki,MengnanBiao Oy,01.10.2021,
2538283-4,1074080,m/s Viapori,Meritullintori,170,HELSINKI,Helsinki,FRS Finland Oy,25.04.2022,
2889302-3,30886665,Didim Ravintola,Joensuuntie 42,31400,SOMERO,Somero,EE FOOD OY,01.03.2025,28.02.2026
3164585-6,1074914,Emmoi,Puolikkotie 6 LT 3,2230,ESPOO,Espoo,BB Perhe Oy,01.07.2022,
0635054-6,1034730,Mikkelin golfkentän kahvila,Lentokentänkatu 2,50100,MIKKELI,Mikkeli,Mikkelin Golf r.y.,01.03.2018,
1465447-8,1476132,Vakiopaine,Kauppakatu 6,40100,JYVÄSKYLÄ,Jyväskylä,Minä ja Siekkiset avoin yhtiö,28.12.1998,
3266825-9,30883370,Kahvila Liisa,Laurinkatu 61,8100,LOHJA,Lohja,Flying Biscuits Oy,24.11.2023,
2041174-7,1037304,Kruunupuisto,Vaahersalontie 44,58450,PUNKAHARJU,Savonlinna,Kruunupuisto Oy,01.04.2011,
3265428-7,30887963,Fuku Iso Omena,Iso Omena Kauppakeskus - Piispansilta 11,2230,ESPOO,Espoo,Alum Oy,12.06.2025,11.06.2026
2351680-0,1037291,Restaurang Seglis,Niemeläntie 14,65100,VAASA,Vaasa,Ab Kvhell Oy,01.05.2011,
3289365-9,1075088,Bar 15 Street,Kauppakatu 15,60100,SEINÄJOKI,Seinäjoki,RockVeKAsses Oy,10.08.2022,
0999188-3,1075027,Kultainen Kukko,Kauppakatu 4-6,89600,SUOMUSSALMI,Suomussalmi,Kultainen Kukko V. Huovinen Oy,30.06.1998,
3132482-5,1076387,Cannoli,Firdonkatu 7,520,HELSINKI,Helsinki,Giant Group Oy ,26.01.2023,
2112598-8,1073540,Carccila & Caruzello,Tivolikuja 1,510,HELSINKI,Helsinki,Toothpicks and Honey Oy,14.03.2022,
1080342-1,1074239,Hämyslava,Pajulahdentie 115,37310,TOTTIJÄRVI,Nokia,Gramofoni Oy,28.05.2022,
3021075-4,1069865,Oluthuone Pikku-Jano,Naapurinkuja 2,1670,VANTAA,Vantaa,Freaking Bunnies Oy,07.12.2020,
2618740-8,30886435,Lentohotelli,Loppusuora 22,62200,KAUHAVA,Kauhava,LSK Business Park Oy,13.01.2025,
3389034-5,30883747,Padel Uno Lahti,Valimokatu 2,15100,LAHTI,Lahti,Padel Uno Oy,06.02.2024,
2293927-0,1072930,Ravintola IL CLASSICO,Safiirikuja 9,1700,VANTAA,Vantaa,Tmi Kivistö Ristorante,07.12.2021,
2033337-1,30065578,Holiday Club Saimaa Golf,Kohonkankaantie 11,55320,RAUHA,Lappeenranta,Holiday Club Resorts Oy,24.06.2019,
0523535-1,1082244,Inkeroisten Palvelukeskus,Valtatie 10,46900,INKEROINEN,Kouvola,Kymijoen Hoiva ry,22.01.1996,
0964564-9,1021675,Harrison / Z-one,Kauppatori 3,78250,VARKAUS,Varkaus,Ravintola Viinamäen Rammari Oy,01.01.2006,
