asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
1223694-2,1070422,Harri's Food Factory,Längmanninkatu 11,78250,VARKAUS,Varkaus,Harri's Food Factory,16.04.2021,
1175047-2,1016800,Koivujärven rantaterassi,Koivujärventie 301,74700,KIURUVESI,Kiuruvesi,Toiminimi E.E-Saastamoinen,01.03.2018,
2952920-7,30885549,Linna Burgers & Coffee,Kauppiaskatu 4,20100,TURKU,Turku,Linnan ruokakioski Oy,01.09.2024,
2699043-6,30881626,Kahvila Matinpoika,Päätie 21,46900,INKEROINEN,Kouvola,VM Matinpoika Oy,01.07.2023,
2480504-9,1042677,Ocean Dragon ravintola,Kurikantie 6,61300,KURIKKA,Kurikka,Ocean Dragon Oy,01.03.2018,
3218345-4,1071899,Karaoke bar Joiku,Levintie 1590,99130,SIRKKA,Kittilä,Tulikuuma Tunturi Oy,21.07.2021,
0873697-9,30889145,0642 Saga Kanalinranta,Aittakarinkatu 19,26100,RAUMA,Rauma,Compass Group Finland Oy,01.12.2025,
2264928-1,1032044,10-Kerho,Asemakatu 10,84100,YLIVIESKA,Ylivieska,Viihdeasema Oy,28.05.2009,
1200243-3,30776797,Maatilamatkailu Höök,Pölläskyläntie 408,58770,PIHLAJALAHTI,Savonlinna,Pitopalvelu- ja Maatilamatkailu Höök,11.07.2018,
0212329-0,1036285,Original Sokos Hotel Vantaa,Hertaksentie 2,1300,VANTAA,Vantaa,Sokotel Oy,01.01.2001,
3451481-9,30886427,Ravintola vanha kirjakauppa,Kauppatie 1,29250,NAKKILA,Nakkila,Naksby Ravintolat Oy,01.02.2025,31.01.2026
3522577-9,30888013,Happy Times -  beach bar,Eetunaukio,28100,PORI,Pori,Porin Naamakahvila Oy,01.07.2025,
2367120-2,30888410,Pub Pikku Varis,Vaalantie 13,91700,VAALA,Vaala,Active camping oy,08.08.2025,
2317750-3,30882310,ms UTÖ,Saaristotie 58,21670,PÄRNÄINEN,Parainen,Suomen Saaristovarustamo Oy,29.06.2023,
0849588-8,30889032,Wohls Gård ,Volsintie 605 B ,2400,KIRKKONUMMI,Kirkkonummi,Snout Oy,01.01.2026,
3141151-5,30069421,Albina & Alexis,Aleksis Kiven katu 23,510,HELSINKI,Helsinki,Aleksis ja Muusa Oy,09.03.2021,
0308181-1,1007328,Ämmän Herkkusuu,Jalonkaarre 3,89600,SUOMUSSALMI,Suomussalmi,Ämmän Leipä Oy,01.07.2004,
0180126-4,1074186,Leppälän koulu,Pastontie 24,63120,LEPPÄLÄNKYLÄ,Kuortane,Leppälän maa- ja kotitalousseura ry,12.05.2022,
2773674-7,1054701,Fiskars Wärdshus,Antskogintie 14,10470,FISKARI,Raasepori,Oy Wärssy Ravintolat Ab,02.09.2016,
2208168-1,1035986,Viikinkiravintola Harald Tampere,Hämeenkatu 23,33200,TAMPERE,Tampere,Viikinkiravintola Harald Oy,01.10.2010,
3157570-4,30070991,Gammelgård Pizza & Padel Resort,Norrstrandintie 217,21660,NAUVO,Parainen,Archipelago Suites Oy,20.05.2021,
3302084-1,30887703,Ravintola Luppo,Satamakatu 1a,160,HELSINKI,Helsinki,Theron EAT&WORK OY,01.06.2025,
2904234-3,30883971,Ravintola Wiku,Aittaranta 4-6,23500,UUSIKAUPUNKI,Uusikaupunki,Kahvila Aittaranta Oy,01.04.2024,
2208168-1,1035968,Viikinkiravintola Harald Turku,Aurakatu 3,20100,TURKU,Turku,Viikinkiravintola Harald Oy,01.10.2010,
3524418-7,30887440,Hamina Camping Pitkäthiekat,Pitkäthiekat 32,49400,HAMINA,Hamina,Puolipohja Oy,15.05.2025,
0993700-0,1065284,Kotipizza Turtola,Martinpojankatu 4,33700,TAMPERE,Tampere,Pitsalmi Oy,02.09.2019,
3586755-2,30889386,Open Padel Vallila,Konepajanpasaasi 6,510,HELSINKI,Helsinki,Padel Vallila Oy,16.01.2026,
0871560-9,30889353,Kota Station,Revontulentie 66,98900,SALLA,Salla,Karhunkierros Luontokeskus Oy,13.01.2026,30.04.2026
2458663-2,1050313,Poron Bensis,Tunturitie 2,99130,SIRKKA,Kittilä,Hullu Poro Oy,01.06.2015,
3204005-8,1071058,Chill House Terrace,Alatori 3 Toriruutu nr 9,65100,VAASA,Vaasa,Chill House Oy,02.06.2021,
2510969-4,1044250,Ravintola Happy Food Garden,Fredrikinkatu 47,100,HELSINKI,Helsinki,Ou Hua Oy,01.06.2013,
0907890-4,30886467,"Helsingin Kaupunginteatteri, Arena Näyttämö",Hämeentie 2,530,HELSINKI,Helsinki,Sodexo Oy,23.01.2025,
2556157-6,1060543,Obelix Riihimäki,Hämeenkatu 21,11100,RIIHIMÄKI,Riihimäki,Obel 1X Oy,14.05.2018,
1087229-1,30887840,Pub Graali,Saaristonkatu 5,90100,OULU,Oulu,Probar Oy,01.07.2025,
1070983-0,1003546,Myllykki Pub,Kirkkokatu 5,41160,TIKKAKOSKI,Jyväskylä,Myllykki Pub Oy,28.04.2001,
2326788-3,30064528,Kotipizza Halkokari,Vanha Veistämöntie 2,67300,KOKKOLA,Kokkola,Tmi Timo Junttila,11.06.2019,
0658353-4,1071775,Ooppera Baletti,Helsinginkatu 58,260,HELSINKI,Helsinki,Restel Ravintolat Oy,08.07.2021,
1558670-2,1021251,Ravintola Alvar,Humalistonkatu 7,20100,TURKU,Turku,Klonk Oy,11.11.2005,
3386624-9,30887413,Delhi House,Salhojankatu 25D,33500,TAMPERE,Tampere,Swana Ab,06.06.2025,
1511532-9,30065939,Radalla Resort,Uimarintie 1,47400,KAUSALA,Iitti,Balladissa Oy,05.05.2021,
3279577-6,1074994,Oppa Korean BBQ,Kaisaniemenkatu 3,100,HELSINKI,Helsinki,Oppa BBQ Kaisaniemi Oy,28.07.2022,
1756894-6,1064056,Bistro K,Hämeentie 68 A,550,HELSINKI,Helsinki,Marcante Oy,01.04.2019,
0201177-4,1042045,Ravintola Pataässä,Pakkahuoneenkatu 7,90100,OULU,Oulu,Formia-Future Oy,26.09.2013,
3202413-8,30070915,Juova,Kaisaniemenkatu 3,100,HELSINKI,Helsinki,Collab Taproom Oy,12.05.2021,
2091169-6,1025581,Tennis Café,Appelgrenintie 12,10900,HANKO,Hanko,First Venture Ky,01.05.2007,
0205897-8,1275027,Lehtimäen Opisto,Opistotie 1,63500,LEHTIMÄKI,Alajärvi,Erityiskansanopiston Kannatus- Yhdistys R.Y. Lehtimäen Opisto,01.03.2018,
2441220-2,30060774,Kirkonvarkauden kioski,Anttolantie 13,50520,MIKKELI,Mikkeli,Star Import Finland Ky,29.05.2018,
1896229-1,1061617,Etappi 22,Satamakatu 22,26100,RAUMA,Rauma,Fresco Ravintolat Oy,11.06.2018,
1491617-5,1036275,Hotelli Joronjälki,Motellikuja 1,79600,JOROINEN,Joroinen,Joronjälki Oy,04.10.2010,
0155602-7,1060888,Ravintola Kivi,Sibeliuksenkatu 6 B,15110,LAHTI,Lahti,Juvenes Oy,01.05.2018,
0956992-2,1472937,Nuorisoseurantalo Tanhula,Saloistentie 585,14200,TURENKI,Janakkala,Janakkalan-Salosten Nuorisoseura r.y.,01.03.2018,
3432547-9,30889201,Luukki Kesäravintola,Klockarsintie 2,2970,ESPOO,Espoo,Demirtas Restaurants Oy,01.03.2026,
3435852-9,30884399,Bar Pena & The Disco,Helsingintie 10,24100,SALO,Salo,Pulpukka Oy,29.04.2024,
2566453-2,30888997,Cafe & Bistro Bubo,rovaniementie 29,97700,RANUA,Ranua,Kashaf Oy,10.11.2025,
2404249-1,30885808,Solmu Brewery,Vattuniemenkatu 11,210,HELSINKI,Helsinki,Island Grill Oy,25.09.2024,24.09.2026
3314218-7,1076079,Tam Tam Ravintola,Jäkälätie 10,730,HELSINKI,Helsinki,Mali Num Oy,01.12.2022,
0972240-5,1023746,Yolo,Laserkatu 10,53850,LAPPEENRANTA,Lappeenranta,Aalef Oy,28.08.2006,
2037636-3,30888244,Cafe Mustijoki,Kirkkotie 266,7170,PORNAINEN,Pornainen,Cafe Mustijoki,21.07.2025,
2829713-3,1074231,Taco Bell Finnoo,Finnoonristi 3,2270,ESPOO,Espoo,Restel Mexican Food Oy,02.05.2022,
1086634-2,30035289,Neitikosken Ravintola,Ruunaa,81750,PANKAKOSKI,Lieksa,Sabimark Oy,01.09.2018,
0145076-7,1033677,Ålands Hotell- och Restaurangskola,Strandgatan 1 A,22100,MARIEHAMN,Maarianhamina - Mariehamn,Ålands Landskapsregering,04.10.1990,
2255310-8,1071603,Svinö stugby's café,Stugbyvägen 24,22630,LUMPARLAND,Lumparland,Svinö Stugby Ab,14.06.2021,
1223694-2,1072940,Varkauden jäähalli/ Harri's Corner,Rehnströminkatu 10,78250,VARKAUS,Varkaus,Harri's Food Factory,11.12.2021,
3123608-3,1070857,Padel Zone kesäterassi,"Asemantie, puistoalue",57100,SAVONLINNA,Savonlinna,Jevet Oy,15.06.2021,
1753190-8,1016347,Kiinalainen Ravintola Little Dragon,Paljetie 4,90150,OULU,Oulu,Kim Ngan Oy,01.03.2018,
2912106-8,1062957,158 Kiinalainen ravintola,Viilarinkatu 3,20320,TURKU,Turku,HongYun Oy,05.11.2018,
3303590-4,1075877,Sen Viet Vegan Restaurant,Atlantinkatu 18 LH 1,220,HELSINKI,Helsinki,Sen Viet Oy,21.11.2022,
1513999-6,1065203,Piazza Deli & Lounge,Helsingintie 41,4410,JÄRVENPÄÄ,Järvenpää,Valkoinen Pingviini Oy,20.05.2019,
3243338-8,1076312,Ravintola Niinipuu,Ylössaarentie 35,52200,PUUMALA,Puumala,Okkolan lomamökit,17.01.2023,
0964418-7,1075051,Turun Kristillinen Opisto,Lustokatu 7,20380,TURKU,Turku,Linnasmäki oy,27.05.1994,
2611744-2,1061240,Kuusisto-Line/Tuula 2,Mannerheiminkatu 1,21100,NAANTALI,Naantali,Keresi Oy,06.06.2018,
1038416-7,1034332,UPM-Kymmene Oyj:n saunatilat,Sarfvikinpolku 11,2450,SUNDSBERG,Kirkkonummi,Ruokaruukku Oy,02.03.2010,
0810278-1,30040926,Meri-Teijo Golf - klubiravintola,Lanskalantie 56,25570,TEIJO,Salo,Meri-Teijo Golf Oy,22.04.2021,
3468572-2,30887891,Wiisalan Kartano,Viisalantie 86,58850,HILTULA,Rantasalmi,Wiisalan Kartano Oy,01.07.2025,
2460418-3,1056378,Aune,Kristiinankatu 5,20100,TURKU,Turku,proFestival Oy,20.04.2017,
2476806-5,1065204,Kotipizza Zeppelin,Zeppelinintie 1,90450,KEMPELE,Kempele,AJ Ravintolat Oy,01.04.2023,
2317893-6,1035042,Tuk Tuk Thai Cuzine,Vaasankatu 19,500,HELSINKI,Helsinki,Ruoka Eliel Oy,01.03.2018,
3101184-5,1067376,Sushi House,Kauppakatu 5-8,8100,LOHJA,Lohja,Finxiang Oy,11.02.2020,
3264897-9,1073583,Momo & More Restaurant,Espoonlahdenkatu 8,2320,ESPOO,Espoo,Maharshi Oy,25.03.2022,
1074977-9,1058033,Aurantola,Aurantolantie 525,47710,JAALA,Kouvola,Aurantola Oy,07.07.1982,
2659682-6,30888675,Thai Style,Åminnentie 435,66100,MAALAHTI,Maalahti,Oy Thai Style Ab,05.09.2025,04.09.2026
2929600-1,1068223,VALO Hotel & Work Helsinki,Mannerheimintie 109,280,HELSINKI,Helsinki,VALO Operator Oy,13.05.2020,
2552790-9,1052238,Ravintola China Town,Keskuspuistokatu 28,94100,KEMI,Kemi,Fumei Oy,01.03.2018,
1871633-0,1029816,Kahvila-ravintola Katiska,Hakaniemen kauppahalli,530,HELSINKI,Helsinki,Kalaliike Marja Nätti avoin yhtiö,01.12.2008,
2779844-6,1058932,Star Arctic Hotel,"Kaunispää, Ylämajantie 1",99830,SAARISELKÄ,Inari,Star Arctic Oy,06.12.2017,
3270670-2,1073640,Ravintola Särkänlinna,Särkänsaari,140,HELSINKI,Helsinki,Olo Events Oy,30.04.2022,
3403755-7,30883694,Madez Lounge Oy,Kauppakatu 15,60100,SEINÄJOKI,Seinäjoki,Madez Lounge Oy,18.02.2025,17.02.2026
1538777-0,1076382,Pop Up -näyttämö Klonkka,Hallituskatu 20,90100,OULU,Oulu,Nukketeatteriyhdistys Akseli Klonk ry,20.01.2023,
2653762-3,1049533,Ravintola Svengi,Läkkisepäntie 23,620,HELSINKI,Helsinki,Palmia Oy,01.08.2017,
2487602-3,30052243,Pizeria Luca Frencel,Itäinenkatu 7,33210,TAMPERE,Tampere,Rengasravintolat Oy,06.04.2018,
3497044-3,30886843,Boutique Hotel Willa Aria,Puistokatu 15,57100,SAVONLINNA,Savonlinna,Saimaa Restaurants Oy,17.03.2025,
2538283-4,1074079,M/s Gädda,Hylkeenpyytäjäntie 9,2270,ESPOO,Espoo,FRS Finland Oy,02.05.2022,
0690368-1,30043080,Tawast Golf Klubiravintola,Tawastintie 48,13270,HÄMEENLINNA,Hämeenlinna,Tawastia Golf & Country Club Oy,11.04.2018,
0775819-9,1024761,Ravintola Totem,Raatimiehenkatu 17,53100,LAPPEENRANTA,Lappeenranta,Mobar Oy,10.01.2007,
2251109-8,1031370,Restaurant Cafe Albatros,Stallörsparken,10600,TAMMISAARI,Raasepori,Ab Alba i Ekenäs,01.04.2009,
0915681-0,1053682,PUB 10,Pellervonkatu 6,33540,TAMPERE,Tampere,Spantec Oy,23.05.2016,
2210281-7,1067004,Old Town Public House,Rihkamatori 2,6100,PORVOO,Porvoo,Old Town Public House Oy,10.11.2021,
1481915-6,1072110,Sirpakka,Roihankatu 10,56800,SIMPELE,Rautjärvi,Tmi Sirpa Suihko,01.09.2021,
1700076-0,1023115,Hotelli-ravintola Alma,Ruukintie 4,60100,SEINÄJOKI,Seinäjoki,Oy Alma Group Hotels Ab,20.07.2006,
3512550-8,30886899,Pikkuhovi,Vanha Lahdentie 1,18100,HEINOLA,Heinola,PEWAL Oy,18.03.2025,17.03.2026
3473339-2,30888095,retro italiano,Hämeentie 33,24100,SALO,Salo,GG Ventures Oy,24.06.2025,23.06.2026
2076963-4,30888390,Empire hairdressers,Yrjönkatu 14,120,HELSINKI,Helsinki,Tankero Oy,01.08.2025,
0873697-9,1063042,0980 Ravintola Oodi,Töölönlahdenkatu 4,100,HELSINKI,Helsinki,Compass Group Finland Oy,30.11.2018,
3438663-4,30885525,Kastun ravintola ,suovantie 2 ,20300,TURKU,Turku,DADDYS KITCHEN Oy,06.08.2024,
3487795-1,30886368,Yummy Korean Ravintola,Kauppakatu 20,40100,JYVÄSKYLÄ,Jyväskylä,Yummy Korean Oy,17.12.2024,
1955531-3,1018820,Ravintola Herkkuhaarukka,Hämeentie 150,560,HELSINKI,Helsinki,HG Hari Oy,01.06.2005,
1727634-5,1020470,Ravintola Sherif,Vanha Valtatie 208,4500,KELLOKOSKI,Tuusula,Cherif Lounasravintola Oy,20.08.2005,
1786516-6,1074011,Ruukin Kievari,Juankoskentie 10,73500,JUANKOSKI,Kuopio,General Impex Tmi,26.04.2022,
3223780-3,1073062,Mukkulan Kartano,Niemenkatu 30,15240,LAHTI,Lahti,Megaro oy,01.01.2022,
0350909-9,1060585,Huttulan Ravintola,Rantatie 21,19650,JOUTSA,Joutsa,Joutsan Huttulainen Oy,01.04.1968,
3342718-2,30881554,Ravintola Teller (+Tales viinibaari),Fredrikinkatu 71,100,HELSINKI,Helsinki,TL Restaurants Oy,01.09.2023,
0953910-9,1275186,Cafe Mondeo,Herralankatu 41,60320,SEINÄJOKI,Seinäjoki,Cafe Mondeo Oy,01.03.2018,
3191614-2,30074404,Restaurant Jalapeno Oy,Dragsvikintie 1,10640,DRAGSVIK,Raasepori,Restaurant Jalapeno Oy ,23.06.2022,
1104340-1,30887020,Rauhalahden kesäteatteriravintola,Rauhankatu,70700,KUOPIO,Kuopio,Maccoy Marketing Oy,16.05.2025,
3119081-2,30888898,Kera Snooker,Karakaari 3 C,2610,ESPOO,Espoo,Kera Snooker Oy,12.12.2025,
1754817-9,1048504,Lounas-ja tilausravintola Mama's,Salorankatu 5-7,24240,SALO,Salo,"Räntmestarin Krouvi, avoin yhtiö",25.09.2014,
9126612-9,1022818,Hotelli Aakenus,Koskikatu 47,96100,ROVANIEMI,Rovaniemi,Hotelli Aakenus Oy,01.06.2006,
0161970-2,1066796,Raviravintola Rakuuna,Lappeenrannan Keskusravirata,53850,LAPPEENRANTA,Lappeenranta,Lappeenrannan Ravirata Oy,14.04.1989,
0203952-3,1069887,Talouskaupan Juhlatila,Kustavintie 5175,23360,KUSTAVI,Kustavi,Kustavin Talouskauppa Ky,08.07.2021,
2372155-6,1050442,Fazer Café Hämeenkatu,Hämeenkatu 15,33100,TAMPERE,Tampere,Fazer Ravintolat Oy,30.05.2015,
3311570-1,30885616,Cuppo-Celle,Kymenlaaksonkatu 1,45700,KUUSANKOSKI,Kouvola,Cuppo-Celle Oy,02.09.2024,
3244382-6,1073975,Satamakonttori,Rantabulevardi 1,94100,KEMI,Kemi,Satamakonttori Oy,30.04.2022,
2997134-5,1067411,Arctic Skylight Lodge,Äkäslompolontie 2745,95970,ÄKÄSLOMPOLO,Kolari,Arctic Skylight Lodge Oy,05.02.2020,
1652669-9,1083593,Ten Dollars Saloon,Vapaudenkatu 22,15110,LAHTI,Lahti,Ten Dollars Saloon Oy,19.04.2003,
2961873-6,30064129,Hiekkaharjun golfklubiravintola,Tennistie 9,1370,VANTAA,Vantaa,Krinon Golf Oy ,15.04.2020,
1633085-6,1472392,Punjab Kebab,Kirkkokatu 10,33200,TAMPERE,Tampere,Punjab Kebab Oy,03.08.2016,
1447914-7,1059840,Scandic Rukahovi,Rukankyläntie 15,93830,RUKATUNTURI,Kuusamo,Scandic Hotels Oy,03.04.2018,
2432042-0,1064488,Hallin Lava,Köpänniementie 38,42600,MULTIA,Multia,Sinikan Baari,18.05.2019,
2916903-7,1061733,H5,Hämeenkatu 5,33100,TAMPERE,Tampere,H5 Ravintolat Oy,29.06.2018,
2750187-6,1053290,Ravintola Ferraria,Keskuskatu 15,31600,JOKIOINEN,Jokioinen,Ravintola Hede Oy,01.06.2016,
2490261-5,1044113,Dada Kebab Pizzeria,Asematie 1,52700,MÄNTYHARJU,Mäntyharju,FM Ciftci Oy,01.03.2018,
0827444-4,1062631,Teater Viirus,Välimerenkatu 14,220,HELSINKI,Helsinki,VIIRUS rf,06.11.2018,
3434941-1,30889449,Zarillo Western & Tex mex,Tesomankatu 4,33310,TAMPERE,Tampere,Zarillo Riihimäki Oy,01.02.2026,
2475042-0,30881157,GRILLIMPI,Mannerheiminkatu 14,7900,LOVIISA,Loviisa,Impin Kievari Oy,30.04.2023,
2794059-6,30887884,Ravintola Allin Matala,Panimotie 1,90520,OULU,Oulu,Toppilan Sembras Oy,01.07.2025,
0835866-4,1064244,Palski,Palotorninvuoren puisto,48100,KOTKA,Kotka,Tori - Parlamentti Oy,01.04.2019,
2396993-0,1064492,Kotipizza Mustasaari,Markkinakuja 2,65610,MUSTASAARI,Mustasaari,ETM Rajala,22.07.2019,
2033337-1,1037085,Holiday Club Kuusamon Tropiikki,Kylpyläntie 1,93600,KUUSAMO,Kuusamo,Holiday Club Resorts Oy,01.03.2011,
2457585-3,30884418,Jäätelökahvila Paja Kasarmitori,Kasarmitori,130,HELSINKI,Helsinki,Kasi Plus Oy,01.05.2024,
3137582-5,30887879,Kaksi kundia burgers & fries,Savilankatu 6,26100,RAUMA,Rauma,Kaksi Kundia Oy,16.06.2025,
3480051-6,30886310,Stay Cheezy,Itäkatu 1-7,930,HELSINKI,Helsinki,Stadin Puodit Oy,09.12.2024,
0942308-5,1052117,Sataman Helmet: Kaunis Veera &,Lahden Matkustajasatama,15140,LAHTI,Lahti,CMB Ravintolat Oy,01.12.2015,
2996627-1,1065371,Amurin Pizzaservice,Sepänkatu 4,33230,TAMPERE,Tampere,"Iman, Arghushi Wassai",01.07.2021,
2140531-4,30885376,Caffitella Ratina,Vuolteenkatu 1,33100,TAMPERE,Tampere,Restella Oy,01.09.2024,
0907890-4,1036779,Ravintola Valimo 21,Valimotie 21,380,HELSINKI,Helsinki,Sodexo Oy,12.05.2011,
2088035-9,1026054,Degersands camping,"Degersand, Torp",22270,ECKERÖ,Eckerö,Degersands Camping & Café AB,01.06.2007,
2469425-4,1070854,Ullan Bistro,Kirkonrantatie 3,54920,TAIPALSAARI,Taipalsaari,OL Suunnittelu Oy,12.11.2021,
2498927-1,1042608,Pub Albert ja Eduard,Kotkankatu 9,48100,KOTKA,Kotka,Kotkan Kivipora Oy,01.11.2012,
3582928-1,30889446,Rattoria Ryyti,Pispalan valtatie 2 U,33250,TAMPERE,Tampere,Rattoria Ryyti Oy,27.01.2026,
2538807-2,1043856,Evalds Pub,Keskuskatu 46,10300,KARJAA,Raasepori,Jankas Pub & Fast Food Ab Oy,22.04.2013,
0648221-5,30068302,Ravintola Käskynkkä,Soikkokuja 12,70780,KUOPIO,Kuopio,Ravintola Käskynkkä Ky,06.05.2020,
